------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.1
downloading device type, android
device, SM-A236B
device name, A23 de Roberto
downloading mode, manual
------------------------------,--------------------
serial number, 04A9 3300 C40E 01
custom name, Colegio MB
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 26
time diff [logger-smartphone](sec), -1
lat, 43.451120
long, -3.821670
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2025-05-16 09:17:20,NA
2025-05-16 09:17:40,20.4
2025-05-16 09:18:00,19.9
2025-05-16 09:18:20,18.9
2025-05-16 09:18:40,18.2
2025-05-16 09:19:00,17.7
2025-05-16 09:19:20,17.4
2025-05-16 09:19:40,17.0
2025-05-16 09:20:00,16.8
2025-05-16 09:20:20,16.7
2025-05-16 09:20:40,16.6
2025-05-16 09:21:00,16.5
2025-05-16 09:21:20,16.5
2025-05-16 09:21:40,16.4
2025-05-16 09:22:00,16.3
2025-05-16 09:22:20,16.3
2025-05-16 09:22:40,16.3
2025-05-16 09:23:00,16.2
2025-05-16 09:23:20,16.2
2025-05-16 09:23:40,16.2
2025-05-16 09:24:00,16.2
2025-05-16 09:24:20,16.2
2025-05-16 09:24:40,16.2
2025-05-16 09:25:00,16.2
2025-05-16 09:25:20,16.4
2025-05-16 09:25:40,NA
