------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.1
downloading device type, android
device, CPH2637
device name, OPPO Reno12 FS 5G
downloading mode, manual
------------------------------,--------------------
serial number, 04E5 4A00 DE5A 05
custom name, Miguel
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 19
time diff [logger-smartphone](sec), -1
lat, 43.451065
long, -3.821792
accuracy (m), 3.1
------------------------------,--------------------
time,temp
2025-03-18 10:16:20,NA
2025-03-18 10:16:40,17.8
2025-03-18 10:17:00,17.8
2025-03-18 10:17:20,18.0
2025-03-18 10:17:40,17.1
2025-03-18 10:18:00,16.1
2025-03-18 10:18:20,15.4
2025-03-18 10:18:40,14.7
2025-03-18 10:19:00,14.3
2025-03-18 10:19:20,13.9
2025-03-18 10:19:40,13.6
2025-03-18 10:20:00,13.5
2025-03-18 10:20:20,13.3
2025-03-18 10:20:40,13.2
2025-03-18 10:21:00,13.1
2025-03-18 10:21:20,13.1
2025-03-18 10:21:40,13.1
2025-03-18 10:22:00,13.1
2025-03-18 10:22:20,13.1
