------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone de Amaia
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.5
samples, 18
time diff [logger-smartphone](sec), -3
lat, 43.463728
long, -3.781460
accuracy (m), 4.9
------------------------------,--------------------
time,temp
2025-04-23 11:48:20,21.5
2025-04-23 11:48:40,20.5
2025-04-23 11:49:00,19.5
2025-04-23 11:49:20,18.0
2025-04-23 11:49:40,17.5
2025-04-23 11:50:00,16.5
2025-04-23 11:50:20,16.0
2025-04-23 11:50:40,16.0
2025-04-23 11:51:00,15.5
2025-04-23 11:51:20,15.5
2025-04-23 11:51:40,15.0
2025-04-23 11:52:00,15.0
2025-04-23 11:52:20,15.0
2025-04-23 11:52:40,15.0
2025-04-23 11:53:00,15.0
2025-04-23 11:53:20,15.0
2025-04-23 11:53:40,15.0
2025-04-23 11:54:00,15.0
