------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04A9 3300 C40E 01
custom name, Colegio MB
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.5
samples, 24
time diff [logger-smartphone](sec), -3
lat, 43.451119
long, -3.821655
accuracy (m), 4.1
------------------------------,--------------------
time,temp
2025-05-22 09:28:42,NA
2025-05-22 09:29:02,NA
2025-05-22 09:29:22,24.0
2025-05-22 09:29:42,24.0
2025-05-22 09:30:02,22.5
2025-05-22 09:30:22,21.0
2025-05-22 09:30:42,19.5
2025-05-22 09:31:02,19.0
2025-05-22 09:31:22,18.5
2025-05-22 09:31:42,17.5
2025-05-22 09:32:02,17.5
2025-05-22 09:32:22,17.0
2025-05-22 09:32:42,17.0
2025-05-22 09:33:02,17.0
2025-05-22 09:33:22,16.5
2025-05-22 09:33:42,17.0
2025-05-22 09:34:02,16.5
2025-05-22 09:34:22,16.5
2025-05-22 09:34:42,16.5
2025-05-22 09:35:02,16.5
2025-05-22 09:35:22,16.5
2025-05-22 09:35:42,16.5
2025-05-22 09:36:02,16.5
2025-05-22 09:36:22,16.5
