------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04B4 0E00 F333 10
custom name, surf
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 75
time diff [logger-smartphone](sec), -2
lat, 43.389414
long, -4.382248
accuracy (m), 4.9
------------------------------,--------------------
time,temp
2025-04-19 08:52:06,NA
2025-04-19 08:54:06,23.5
2025-04-19 08:56:06,21.5
2025-04-19 08:58:06,20.2
2025-04-19 09:00:06,20.7
2025-04-19 09:02:06,19.2
2025-04-19 09:04:06,15.5
2025-04-19 09:06:06,14.8
2025-04-19 09:08:06,14.7
2025-04-19 09:10:06,14.6
2025-04-19 09:12:06,14.7
2025-04-19 09:14:06,14.7
2025-04-19 09:16:06,14.7
2025-04-19 09:18:06,14.7
2025-04-19 09:20:06,14.7
2025-04-19 09:22:06,14.7
2025-04-19 09:24:06,14.7
2025-04-19 09:26:06,14.8
2025-04-19 09:28:06,14.8
2025-04-19 09:30:06,14.8
2025-04-19 09:32:06,15.0
2025-04-19 09:34:06,15.5
2025-04-19 09:36:06,14.8
2025-04-19 09:38:06,14.8
2025-04-19 09:40:06,14.7
2025-04-19 09:42:06,14.8
2025-04-19 09:44:06,14.8
2025-04-19 09:46:06,14.8
2025-04-19 09:48:06,14.7
2025-04-19 09:50:06,15.0
2025-04-19 09:52:06,14.9
2025-04-19 09:54:06,14.8
2025-04-19 09:56:06,14.9
2025-04-19 09:58:06,14.7
2025-04-19 10:00:06,14.1
2025-04-19 10:02:06,15.5
2025-04-19 10:04:06,15.5
2025-04-19 10:06:06,16.0
2025-04-19 10:08:06,16.9
2025-04-19 10:10:06,16.0
2025-04-19 10:12:06,15.1
2025-04-19 10:14:06,15.0
2025-04-19 10:16:06,14.9
2025-04-19 10:18:06,15.0
2025-04-19 10:20:06,15.1
2025-04-19 10:22:06,15.0
2025-04-19 10:24:06,15.0
2025-04-19 10:26:06,15.0
2025-04-19 10:28:06,14.9
2025-04-19 10:30:06,14.9
2025-04-19 10:32:06,15.0
2025-04-19 10:34:06,14.9
2025-04-19 10:36:06,15.1
2025-04-19 10:38:06,14.9
2025-04-19 10:40:06,15.0
2025-04-19 10:42:06,15.1
2025-04-19 10:44:06,15.7
2025-04-19 10:46:06,15.3
2025-04-19 10:48:06,14.9
2025-04-19 10:50:06,15.3
2025-04-19 10:52:06,15.8
2025-04-19 10:54:06,17.1
2025-04-19 10:56:06,17.7
2025-04-19 10:58:06,18.0
2025-04-19 11:00:06,18.5
2025-04-19 11:02:06,19.1
2025-04-19 11:04:06,20.1
2025-04-19 11:06:06,19.7
2025-04-19 11:08:06,19.9
2025-04-19 11:10:06,20.2
2025-04-19 11:12:06,20.0
2025-04-19 11:14:06,20.1
2025-04-19 11:16:06,20.5
2025-04-19 11:18:06,20.9
2025-04-19 11:20:06,20.8
