------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04C6 6500 710F 02
custom name, surf-igna
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 52
time diff [logger-smartphone](sec), -3
lat, 43.475136
long, -3.786151
accuracy (m), 4.6
------------------------------,--------------------
time,temp
2025-01-29 14:44:00,15.4
2025-01-29 14:46:00,14.8
2025-01-29 14:48:00,14.7
2025-01-29 14:50:00,14.4
2025-01-29 14:52:00,14.3
2025-01-29 14:54:00,14.2
2025-01-29 14:56:00,14.3
2025-01-29 14:58:00,13.8
2025-01-29 15:00:00,13.4
2025-01-29 15:02:00,13.4
2025-01-29 15:04:00,13.4
2025-01-29 15:06:00,13.4
2025-01-29 15:08:00,13.4
2025-01-29 15:10:00,13.4
2025-01-29 15:12:00,13.4
2025-01-29 15:14:00,13.4
2025-01-29 15:16:00,13.4
2025-01-29 15:18:00,13.4
2025-01-29 15:20:00,13.4
2025-01-29 15:22:00,13.4
2025-01-29 15:24:00,13.4
2025-01-29 15:26:00,13.4
2025-01-29 15:28:00,13.4
2025-01-29 15:30:00,13.4
2025-01-29 15:32:00,13.4
2025-01-29 15:34:00,13.4
2025-01-29 15:36:00,13.4
2025-01-29 15:38:00,13.4
2025-01-29 15:40:00,13.4
2025-01-29 15:42:00,13.4
2025-01-29 15:44:00,13.4
2025-01-29 15:46:00,13.4
2025-01-29 15:48:00,13.4
2025-01-29 15:50:00,13.4
2025-01-29 15:52:00,13.4
2025-01-29 15:54:00,13.4
2025-01-29 15:56:00,13.4
2025-01-29 15:58:00,13.4
2025-01-29 16:00:00,13.4
2025-01-29 16:02:00,13.3
2025-01-29 16:04:00,13.4
2025-01-29 16:06:00,13.0
2025-01-29 16:08:00,12.0
2025-01-29 16:10:00,11.6
2025-01-29 16:12:00,11.2
2025-01-29 16:14:00,11.1
2025-01-29 16:16:00,11.0
2025-01-29 16:18:00,10.9
2025-01-29 16:20:00,10.9
2025-01-29 16:22:00,10.9
2025-01-29 16:24:00,11.0
