------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04C6 6500 710F 02
custom name, surf-igna
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 49
time diff [logger-smartphone](sec), -1
lat, -53.940192
long, -71.023408
accuracy (m), NA
------------------------------,--------------------
time,temp
2025-02-24 00:38:40,NA
2025-02-24 00:39:40,15.3
2025-02-24 00:40:40,12.0
2025-02-24 00:41:40,10.6
2025-02-24 00:42:40,10.0
2025-02-24 00:43:40,9.7
2025-02-24 00:44:40,9.6
2025-02-24 00:45:40,9.5
2025-02-24 00:46:40,9.6
2025-02-24 00:47:40,9.5
2025-02-24 00:48:40,9.5
2025-02-24 00:49:40,9.5
2025-02-24 00:50:40,9.5
2025-02-24 00:51:40,9.5
2025-02-24 00:52:40,9.5
2025-02-24 00:53:40,9.4
2025-02-24 00:54:40,9.4
2025-02-24 00:55:40,9.4
2025-02-24 00:56:40,9.3
2025-02-24 00:57:40,9.3
2025-02-24 00:58:40,9.4
2025-02-24 00:59:40,9.3
2025-02-24 01:00:40,9.3
2025-02-24 01:01:40,9.3
2025-02-24 01:02:40,9.4
2025-02-24 01:03:40,9.3
2025-02-24 01:04:40,9.4
2025-02-24 01:05:40,9.3
2025-02-24 01:06:40,9.3
2025-02-24 01:07:40,9.3
2025-02-24 01:08:40,9.3
2025-02-24 01:09:40,9.3
2025-02-24 01:10:40,9.3
2025-02-24 01:11:40,9.3
2025-02-24 01:12:40,9.3
2025-02-24 01:13:40,9.3
2025-02-24 01:14:40,9.3
2025-02-24 01:15:40,9.3
2025-02-24 01:16:40,9.3
2025-02-24 01:17:40,9.3
2025-02-24 01:18:40,9.3
2025-02-24 01:19:40,9.3
2025-02-24 01:20:40,9.3
2025-02-24 01:21:40,9.3
2025-02-24 01:22:40,9.3
2025-02-24 01:23:40,9.3
2025-02-24 01:24:40,9.3
2025-02-24 01:25:40,9.6
2025-02-24 01:26:40,10.3
