------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04C8 5500 453D 0C
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 49
time diff [logger-smartphone](sec), -2
lat, 43.458801
long, -3.726378
accuracy (m), 4.6
------------------------------,--------------------
time,temp
2025-05-27 17:59:19,NA
2025-05-27 18:01:19,23.5
2025-05-27 18:03:19,23.3
2025-05-27 18:05:19,23.0
2025-05-27 18:07:19,22.4
2025-05-27 18:09:19,22.1
2025-05-27 18:11:19,21.4
2025-05-27 18:13:19,20.6
2025-05-27 18:15:19,17.3
2025-05-27 18:17:19,16.5
2025-05-27 18:19:19,16.6
2025-05-27 18:21:19,16.6
2025-05-27 18:23:19,16.6
2025-05-27 18:25:19,16.5
2025-05-27 18:27:19,16.4
2025-05-27 18:29:19,16.4
2025-05-27 18:31:19,16.6
2025-05-27 18:33:19,16.6
2025-05-27 18:35:19,16.5
2025-05-27 18:37:19,16.5
2025-05-27 18:39:19,16.5
2025-05-27 18:41:19,16.4
2025-05-27 18:43:19,16.5
2025-05-27 18:45:19,16.5
2025-05-27 18:47:19,16.5
2025-05-27 18:49:19,16.5
2025-05-27 18:51:19,16.5
2025-05-27 18:53:19,16.5
2025-05-27 18:55:19,16.5
2025-05-27 18:57:19,16.5
2025-05-27 18:59:19,16.5
2025-05-27 19:01:19,16.5
2025-05-27 19:03:19,16.6
2025-05-27 19:05:19,16.6
2025-05-27 19:07:19,16.6
2025-05-27 19:09:19,16.6
2025-05-27 19:11:19,16.6
2025-05-27 19:13:19,16.6
2025-05-27 19:15:19,16.6
2025-05-27 19:17:19,16.6
2025-05-27 19:19:19,16.6
2025-05-27 19:21:19,16.1
2025-05-27 19:23:19,15.8
2025-05-27 19:25:19,15.6
2025-05-27 19:27:19,15.6
2025-05-27 19:29:19,15.6
2025-05-27 19:31:19,15.5
2025-05-27 19:33:19,15.3
2025-05-27 19:35:19,15.1
