------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04E5 4A00 DE5A 05
custom name, Miguel
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.5
samples, 21
time diff [logger-smartphone](sec), -1
lat, 43.451134
long, -3.821608
accuracy (m), 13.2
------------------------------,--------------------
time,temp
2025-02-20 10:17:12,NA
2025-02-20 10:17:32,19.5
2025-02-20 10:17:52,19.5
2025-02-20 10:18:12,19.5
2025-02-20 10:18:32,18.0
2025-02-20 10:18:52,17.0
2025-02-20 10:19:12,16.5
2025-02-20 10:19:32,15.5
2025-02-20 10:19:52,15.0
2025-02-20 10:20:12,15.0
2025-02-20 10:20:32,14.5
2025-02-20 10:20:52,14.5
2025-02-20 10:21:12,14.0
2025-02-20 10:21:32,14.5
2025-02-20 10:21:52,14.0
2025-02-20 10:22:12,14.0
2025-02-20 10:22:32,14.0
2025-02-20 10:22:52,14.0
2025-02-20 10:23:12,14.0
2025-02-20 10:23:32,14.0
2025-02-20 10:23:52,14.0
