------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A236B
device name, A23 de Roberto
downloading mode, manual
------------------------------,--------------------
serial number, 04A9 3300 C40E 01
custom name, Colegio MB
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 24
time diff [logger-smartphone](sec), -1
lat, 43.451168
long, -3.821589
accuracy (m), 6.6
------------------------------,--------------------
time,temp
2026-01-21 10:15:01,NA
2026-01-21 10:15:21,17.9
2026-01-21 10:15:41,17.7
2026-01-21 10:16:01,16.5
2026-01-21 10:16:21,15.4
2026-01-21 10:16:41,14.5
2026-01-21 10:17:01,13.9
2026-01-21 10:17:21,13.4
2026-01-21 10:17:41,13.1
2026-01-21 10:18:01,12.8
2026-01-21 10:18:21,12.6
2026-01-21 10:18:41,12.6
2026-01-21 10:19:01,12.4
2026-01-21 10:19:21,12.3
2026-01-21 10:19:41,12.2
2026-01-21 10:20:01,12.2
2026-01-21 10:20:21,12.2
2026-01-21 10:20:41,12.2
2026-01-21 10:21:01,12.2
2026-01-21 10:21:21,12.2
2026-01-21 10:21:41,12.2
2026-01-21 10:22:01,12.1
2026-01-21 10:22:21,12.1
2026-01-21 10:22:41,12.1
