------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 5.7
downloading device type, android
device, RMX3630
device name, Raquel_Realme10
downloading mode, manual
------------------------------,--------------------
serial number, 041F BB00 4A2A 05
custom name, IEO1
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 22
time diff [logger-smartphone](sec), -1
lat, 43.463410
long, -3.782722
accuracy (m), 6.9
------------------------------,--------------------
time,temp
2024-09-23 09:34:00,NA
2024-09-23 09:35:00,25.7
2024-09-23 09:36:00,26.6
2024-09-23 09:37:00,26.8
2024-09-23 09:38:00,27.1
2024-09-23 09:39:00,27.2
2024-09-23 09:40:00,27.5
2024-09-23 09:41:00,28.0
2024-09-23 09:42:00,28.7
2024-09-23 09:43:00,25.1
2024-09-23 09:44:00,20.3
2024-09-23 09:45:00,18.2
2024-09-23 09:46:00,17.3
2024-09-23 09:47:00,16.9
2024-09-23 09:48:00,16.8
2024-09-23 09:49:00,16.8
2024-09-23 09:50:00,16.8
2024-09-23 09:51:00,16.7
2024-09-23 09:52:00,16.7
2024-09-23 09:53:00,16.7
2024-09-23 09:54:00,17.1
2024-09-23 09:55:00,NA
