------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, 25078RA3EY
device name, REDMI 15C
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 41
time diff [logger-smartphone](sec), -2
lat, 43.463682
long, -3.781612
accuracy (m), 2.0
------------------------------,--------------------
time,temp
2026-06-22 10:41:00,33.5
2026-06-22 10:41:20,33.9
2026-06-22 10:41:40,34.1
2026-06-22 10:42:00,34.0
2026-06-22 10:42:20,34.0
2026-06-22 10:42:40,33.9
2026-06-22 10:43:00,34.1
2026-06-22 10:43:20,34.2
2026-06-22 10:43:40,34.1
2026-06-22 10:44:00,35.5
2026-06-22 10:44:20,34.6
2026-06-22 10:44:40,34.5
2026-06-22 10:45:00,34.4
2026-06-22 10:45:20,NA
2026-06-22 10:45:40,34.5
2026-06-22 10:46:00,34.2
2026-06-22 10:46:20,31.9
2026-06-22 10:46:40,29.0
2026-06-22 10:47:00,26.8
2026-06-22 10:47:20,25.0
2026-06-22 10:47:40,23.6
2026-06-22 10:48:00,22.6
2026-06-22 10:48:20,21.8
2026-06-22 10:48:40,21.2
2026-06-22 10:49:00,20.7
2026-06-22 10:49:20,20.4
2026-06-22 10:49:40,20.1
2026-06-22 10:50:00,19.9
2026-06-22 10:50:20,19.8
2026-06-22 10:50:40,19.7
2026-06-22 10:51:00,19.6
2026-06-22 10:51:20,19.5
2026-06-22 10:51:40,19.4
2026-06-22 10:52:00,19.4
2026-06-22 10:52:20,19.4
2026-06-22 10:52:40,19.4
2026-06-22 10:53:00,19.5
2026-06-22 10:53:20,19.5
2026-06-22 10:53:40,19.5
2026-06-22 10:54:00,19.5
2026-06-22 10:54:20,19.4
