------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, A04s de Izaskun
downloading mode, manual
------------------------------,--------------------
serial number, 04DE 2900 F655 0A
custom name, IEO2
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 26
time diff [logger-smartphone](sec), -2
lat, 43.463653
long, -3.781704
accuracy (m), 1.5
------------------------------,--------------------
time,temp
2026-05-07 11:47:20,NA
2026-05-07 11:47:40,23.4
2026-05-07 11:48:00,23.4
2026-05-07 11:48:20,23.4
2026-05-07 11:48:40,23.3
2026-05-07 11:49:00,23.4
2026-05-07 11:49:20,23.4
2026-05-07 11:49:40,22.3
2026-05-07 11:50:00,21.0
2026-05-07 11:50:20,20.1
2026-05-07 11:50:40,19.2
2026-05-07 11:51:00,18.7
2026-05-07 11:51:20,18.2
2026-05-07 11:51:40,17.8
2026-05-07 11:52:00,17.6
2026-05-07 11:52:20,17.4
2026-05-07 11:52:40,17.3
2026-05-07 11:53:00,17.2
2026-05-07 11:53:20,17.0
2026-05-07 11:53:40,17.0
2026-05-07 11:54:00,17.0
2026-05-07 11:54:20,16.9
2026-05-07 11:54:40,16.9
2026-05-07 11:55:00,16.9
2026-05-07 11:55:20,16.9
2026-05-07 11:55:40,NA
