------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 5.7
downloading device type, android
device, Pocket
device name, Pocket
downloading mode, manual
------------------------------,--------------------
serial number, 04B4 0E00 F333 10
custom name, IEO3
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 44
time diff [logger-smartphone](sec), -1
lat, 43.449935
long, -3.965992
accuracy (m), 1.9
------------------------------,--------------------
time,temp
2024-09-24 17:58:00,NA
2024-09-24 17:59:00,25.0
2024-09-24 18:00:00,24.3
2024-09-24 18:01:00,23.4
2024-09-24 18:02:00,22.9
2024-09-24 18:03:00,22.5
2024-09-24 18:04:00,22.0
2024-09-24 18:05:00,20.9
2024-09-24 18:06:00,20.3
2024-09-24 18:07:00,20.0
2024-09-24 18:08:00,19.8
2024-09-24 18:09:00,19.7
2024-09-24 18:10:00,19.8
2024-09-24 18:11:00,19.8
2024-09-24 18:12:00,19.8
2024-09-24 18:13:00,19.7
2024-09-24 18:14:00,19.7
2024-09-24 18:15:00,19.7
2024-09-24 18:16:00,19.7
2024-09-24 18:17:00,19.8
2024-09-24 18:18:00,19.8
2024-09-24 18:19:00,19.8
2024-09-24 18:20:00,19.8
2024-09-24 18:21:00,19.8
2024-09-24 18:22:00,19.7
2024-09-24 18:23:00,19.7
2024-09-24 18:24:00,19.7
2024-09-24 18:25:00,19.8
2024-09-24 18:26:00,19.7
2024-09-24 18:27:00,19.7
2024-09-24 18:28:00,19.7
2024-09-24 18:29:00,19.8
2024-09-24 18:30:00,19.7
2024-09-24 18:31:00,19.7
2024-09-24 18:32:00,19.7
2024-09-24 18:33:00,19.7
2024-09-24 18:34:00,19.7
2024-09-24 18:35:00,19.7
2024-09-24 18:36:00,19.6
2024-09-24 18:37:00,19.0
2024-09-24 18:38:00,18.6
2024-09-24 18:39:00,18.0
2024-09-24 18:40:00,17.9
2024-09-24 18:41:00,NA
