------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.1
downloading device type, android
device, CPH2637
device name, OPPO Reno12 FS 5G
downloading mode, manual
------------------------------,--------------------
serial number, 04E5 4A00 DE5A 05
custom name, Miguel
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 23
time diff [logger-smartphone](sec), 0
lat, 43.451627
long, -3.822020
accuracy (m), 3.8
------------------------------,--------------------
time,temp
2025-02-18 10:11:01,NA
2025-02-18 10:11:21,19.0
2025-02-18 10:11:41,19.1
2025-02-18 10:12:01,18.3
2025-02-18 10:12:21,17.2
2025-02-18 10:12:41,16.4
2025-02-18 10:13:01,15.8
2025-02-18 10:13:21,15.3
2025-02-18 10:13:41,14.9
2025-02-18 10:14:01,14.7
2025-02-18 10:14:21,14.4
2025-02-18 10:14:41,14.3
2025-02-18 10:15:01,14.2
2025-02-18 10:15:21,14.1
2025-02-18 10:15:41,14.1
2025-02-18 10:16:01,14.0
2025-02-18 10:16:21,13.9
2025-02-18 10:16:41,13.9
2025-02-18 10:17:01,13.9
2025-02-18 10:17:21,13.9
2025-02-18 10:17:41,13.9
2025-02-18 10:18:01,13.9
2025-02-18 10:18:21,NA
