------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, RMX3630
device name, Raquel_Realme10
downloading mode, manual
------------------------------,--------------------
serial number, 0439 D000 A930 08
custom name, POM1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 157
time diff [logger-smartphone](sec), 1
lat, 43.463418
long, -3.783262
accuracy (m), 2.1
------------------------------,--------------------
time,temp
2025-06-08 09:01:06,18.7
2025-06-08 09:01:26,18.7
2025-06-08 09:01:46,18.7
2025-06-08 09:02:06,18.7
2025-06-08 09:02:26,18.7
2025-06-08 09:02:46,18.7
2025-06-08 09:03:06,18.6
2025-06-08 09:03:26,18.7
2025-06-08 09:03:46,18.7
2025-06-08 09:04:06,18.7
2025-06-08 09:04:26,18.7
2025-06-08 09:04:46,18.7
2025-06-08 09:05:06,18.7
2025-06-08 09:05:26,18.7
2025-06-08 09:05:46,18.7
2025-06-08 09:06:06,18.7
2025-06-08 09:06:26,18.7
2025-06-08 09:06:46,18.7
2025-06-08 09:07:06,18.7
2025-06-08 09:07:26,18.7
2025-06-08 09:07:46,18.7
2025-06-08 09:08:06,18.7
2025-06-08 09:08:26,18.7
2025-06-08 09:08:46,18.7
2025-06-08 09:09:06,18.7
2025-06-08 09:09:26,18.7
2025-06-08 09:09:46,18.7
2025-06-08 09:10:06,18.7
2025-06-08 09:10:26,18.7
2025-06-08 09:10:46,18.7
2025-06-08 09:11:06,18.7
2025-06-08 09:11:26,18.7
2025-06-08 09:11:46,18.7
2025-06-08 09:12:06,18.7
2025-06-08 09:12:26,18.7
2025-06-08 09:12:46,18.7
2025-06-08 09:13:06,18.7
2025-06-08 09:13:26,18.7
2025-06-08 09:13:46,18.8
2025-06-08 09:14:06,18.7
2025-06-08 09:14:26,18.8
2025-06-08 09:14:46,18.7
2025-06-08 09:15:06,18.9
2025-06-08 09:15:26,NA
2025-06-08 09:15:46,NA
2025-06-08 09:16:06,NA
2025-06-08 09:16:26,NA
2025-06-08 09:16:46,NA
2025-06-08 09:17:06,NA
2025-06-08 09:17:26,20.1
2025-06-08 09:17:46,20.0
2025-06-08 09:18:06,19.9
2025-06-08 09:18:26,19.9
2025-06-08 09:18:46,19.9
2025-06-08 09:19:06,19.9
2025-06-08 09:19:26,20.0
2025-06-08 09:19:46,20.1
2025-06-08 09:20:06,20.2
2025-06-08 09:20:26,20.2
2025-06-08 09:20:46,20.3
2025-06-08 09:21:06,20.4
2025-06-08 09:21:26,20.5
2025-06-08 09:21:46,20.5
2025-06-08 09:22:06,20.6
2025-06-08 09:22:26,20.7
2025-06-08 09:22:46,20.7
