------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, RMX3630
device name, Raquel_Realme10
downloading mode, manual
------------------------------,--------------------
serial number, 0441 B600 5A27 0E
custom name, POM10
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 34
time diff [logger-smartphone](sec), -2
lat, 43.465963
long, -3.778193
accuracy (m), 1.7
------------------------------,--------------------
time,temp
2025-06-08 09:19:41,21.4
2025-06-08 09:20:01,22.2
2025-06-08 09:20:21,22.8
2025-06-08 09:20:41,22.5
2025-06-08 09:21:01,21.7
2025-06-08 09:21:21,21.1
2025-06-08 09:21:41,20.6
2025-06-08 09:22:01,20.2
2025-06-08 09:22:21,19.9
2025-06-08 09:22:41,19.6
2025-06-08 09:23:01,19.4
2025-06-08 09:23:21,19.3
2025-06-08 09:23:41,19.1
2025-06-08 09:24:01,19.0
2025-06-08 09:24:21,19.0
2025-06-08 09:24:41,19.0
2025-06-08 09:25:01,18.8
2025-06-08 09:25:21,18.9
2025-06-08 09:25:41,18.8
2025-06-08 09:26:01,18.9
2025-06-08 09:26:21,18.9
2025-06-08 09:26:41,18.9
2025-06-08 09:27:01,18.9
2025-06-08 09:27:21,18.9
2025-06-08 09:27:41,18.9
2025-06-08 09:28:01,18.9
2025-06-08 09:28:21,18.9
2025-06-08 09:28:41,18.9
2025-06-08 09:29:01,18.9
2025-06-08 09:29:21,19.0
2025-06-08 09:29:41,18.9
2025-06-08 09:30:01,18.9
2025-06-08 09:30:21,18.9
2025-06-08 09:30:41,NA
