------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, SM-M127F
device name, M12 de Laura
downloading mode, manual
------------------------------,--------------------
serial number, 04F0 D800 BA3B 0B
custom name, POM2
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 122
time diff [logger-smartphone](sec), 5
lat, 43.463588
long, -3.783510
accuracy (m), 13.5
------------------------------,--------------------
time,temp
2025-06-08 09:21:20,21.2
2025-06-08 09:21:30,21.2
2025-06-08 09:21:40,21.3
2025-06-08 09:21:50,21.3
2025-06-08 09:22:00,21.4
2025-06-08 09:22:10,21.4
2025-06-08 09:22:20,21.4
2025-06-08 09:22:30,21.5
2025-06-08 09:22:40,21.4
2025-06-08 09:22:50,21.5
2025-06-08 09:23:00,21.5
2025-06-08 09:23:10,21.5
2025-06-08 09:23:20,21.6
2025-06-08 09:23:30,21.7
2025-06-08 09:23:40,21.9
2025-06-08 09:23:50,22.2
2025-06-08 09:24:00,22.3
2025-06-08 09:24:10,22.6
2025-06-08 09:24:20,22.7
2025-06-08 09:24:30,22.9
2025-06-08 09:24:40,23.0
2025-06-08 09:24:50,23.2
2025-06-08 09:25:00,23.3
2025-06-08 09:25:10,23.4
2025-06-08 09:25:20,23.5
2025-06-08 09:25:30,23.7
2025-06-08 09:25:40,23.8
2025-06-08 09:25:50,24.0
2025-06-08 09:26:00,24.1
2025-06-08 09:26:10,24.2
2025-06-08 09:26:20,24.4
2025-06-08 09:26:30,24.4
2025-06-08 09:26:40,24.6
2025-06-08 09:26:50,24.7
2025-06-08 09:27:00,24.8
2025-06-08 09:27:10,24.9
2025-06-08 09:27:20,25.0
2025-06-08 09:27:30,25.1
2025-06-08 09:27:40,25.2
2025-06-08 09:27:50,25.3
2025-06-08 09:28:00,25.3
2025-06-08 09:28:10,25.3
2025-06-08 09:28:20,25.4
2025-06-08 09:28:30,25.5
2025-06-08 09:28:40,25.6
2025-06-08 09:28:50,25.7
2025-06-08 09:29:00,25.8
2025-06-08 09:29:10,25.8
2025-06-08 09:29:20,25.9
2025-06-08 09:29:30,26.0
2025-06-08 09:29:40,26.0
2025-06-08 09:29:50,26.1
2025-06-08 09:30:00,26.2
2025-06-08 09:30:10,26.2
2025-06-08 09:30:20,26.3
2025-06-08 09:30:30,26.4
2025-06-08 09:30:40,26.4
2025-06-08 09:30:50,26.6
2025-06-08 09:31:00,NA
2025-06-08 09:31:10,NA
2025-06-08 09:31:20,NA
2025-06-08 09:31:30,NA
2025-06-08 09:31:40,NA
2025-06-08 09:31:50,NA
2025-06-08 09:32:00,26.7
2025-06-08 09:32:10,26.7
2025-06-08 09:32:20,26.6
2025-06-08 09:32:30,26.6
2025-06-08 09:32:40,26.6
2025-06-08 09:32:50,26.5
2025-06-08 09:33:00,26.4
2025-06-08 09:33:10,26.4
2025-06-08 09:33:20,26.4
2025-06-08 09:33:30,26.2
2025-06-08 09:33:40,26.1
2025-06-08 09:33:50,26.0
2025-06-08 09:34:00,26.0
2025-06-08 09:34:10,25.9
2025-06-08 09:34:20,25.9
2025-06-08 09:34:30,25.8
2025-06-08 09:34:40,25.8
2025-06-08 09:34:50,25.8
2025-06-08 09:35:00,25.7
2025-06-08 09:35:10,25.7
2025-06-08 09:35:20,25.7
2025-06-08 09:35:30,25.7
2025-06-08 09:35:40,25.6
2025-06-08 09:35:50,25.6
2025-06-08 09:36:00,25.6
2025-06-08 09:36:10,25.5
2025-06-08 09:36:20,25.5
2025-06-08 09:36:30,25.4
2025-06-08 09:36:40,25.4
2025-06-08 09:36:50,25.4
2025-06-08 09:37:00,25.5
2025-06-08 09:37:10,25.5
2025-06-08 09:37:20,25.6
2025-06-08 09:37:30,25.5
2025-06-08 09:37:40,25.5
2025-06-08 09:37:50,25.5
2025-06-08 09:38:00,25.5
2025-06-08 09:38:10,25.6
2025-06-08 09:38:20,25.5
2025-06-08 09:38:30,25.5
2025-06-08 09:38:40,25.5
2025-06-08 09:38:50,25.5
2025-06-08 09:39:00,25.5
2025-06-08 09:39:10,25.5
2025-06-08 09:39:20,25.4
2025-06-08 09:39:30,25.5
2025-06-08 09:39:40,25.5
2025-06-08 09:39:50,25.5
2025-06-08 09:40:00,25.5
2025-06-08 09:40:10,25.5
2025-06-08 09:40:20,25.5
2025-06-08 09:40:30,25.5
2025-06-08 09:40:40,25.6
2025-06-08 09:40:50,25.5
2025-06-08 09:41:00,25.5
2025-06-08 09:41:10,25.5
2025-06-08 09:41:20,25.6
2025-06-08 09:41:30,NA
