------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, ELP-NX9
device name, Raza de esp?ritu 
downloading mode, manual
------------------------------,--------------------
serial number, 045D E400 B136 0C
custom name, POM3
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 231
time diff [logger-smartphone](sec), 6
lat, 43.463464
long, -3.783264
accuracy (m), 5.7
------------------------------,--------------------
time,temp
2025-06-08 09:26:18,19.9
2025-06-08 09:26:28,19.9
2025-06-08 09:26:38,19.9
2025-06-08 09:26:48,19.9
2025-06-08 09:26:58,20.0
2025-06-08 09:27:08,20.0
2025-06-08 09:27:18,20.0
2025-06-08 09:27:28,20.0
2025-06-08 09:27:38,20.1
2025-06-08 09:27:48,20.1
2025-06-08 09:27:58,20.1
2025-06-08 09:28:08,20.0
2025-06-08 09:28:18,20.1
2025-06-08 09:28:28,20.1
2025-06-08 09:28:38,20.1
2025-06-08 09:28:48,20.1
2025-06-08 09:28:58,20.1
2025-06-08 09:29:08,20.1
2025-06-08 09:29:18,20.1
2025-06-08 09:29:28,20.1
2025-06-08 09:29:38,20.1
2025-06-08 09:29:48,20.1
2025-06-08 09:29:58,20.1
2025-06-08 09:30:08,20.0
2025-06-08 09:30:18,20.1
2025-06-08 09:30:28,20.0
2025-06-08 09:30:38,20.1
2025-06-08 09:30:48,20.0
2025-06-08 09:30:58,20.0
2025-06-08 09:31:08,20.1
2025-06-08 09:31:18,20.1
2025-06-08 09:31:28,20.2
2025-06-08 09:31:38,20.1
2025-06-08 09:31:48,20.1
2025-06-08 09:31:58,20.2
2025-06-08 09:32:08,20.2
2025-06-08 09:32:18,20.2
2025-06-08 09:32:28,20.2
2025-06-08 09:32:38,20.2
2025-06-08 09:32:48,20.2
2025-06-08 09:32:58,20.3
2025-06-08 09:33:08,20.3
2025-06-08 09:33:18,20.3
2025-06-08 09:33:28,20.4
2025-06-08 09:33:38,20.4
2025-06-08 09:33:48,20.4
2025-06-08 09:33:58,20.4
2025-06-08 09:34:08,20.4
2025-06-08 09:34:18,20.5
2025-06-08 09:34:28,20.4
2025-06-08 09:34:38,20.5
2025-06-08 09:34:48,20.5
2025-06-08 09:34:58,20.5
2025-06-08 09:35:08,20.6
2025-06-08 09:35:18,20.5
2025-06-08 09:35:28,20.6
2025-06-08 09:35:38,20.6
2025-06-08 09:35:48,20.5
2025-06-08 09:35:58,20.6
2025-06-08 09:36:08,20.6
2025-06-08 09:36:18,20.6
2025-06-08 09:36:28,20.6
2025-06-08 09:36:38,20.7
2025-06-08 09:36:48,20.7
2025-06-08 09:36:58,20.7
