------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, ELP-NX9
device name, Raza de esp?ritu 
downloading mode, manual
------------------------------,--------------------
serial number, 042C B200 E801 0B
custom name, POM4
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 205
time diff [logger-smartphone](sec), 3
lat, 43.463458
long, -3.783285
accuracy (m), 5.0
------------------------------,--------------------
time,temp
2025-06-08 09:27:20,20.1
2025-06-08 09:27:30,20.1
2025-06-08 09:27:40,20.1
2025-06-08 09:27:50,20.1
2025-06-08 09:28:00,20.1
2025-06-08 09:28:10,20.2
2025-06-08 09:28:20,20.2
2025-06-08 09:28:30,20.2
2025-06-08 09:28:40,20.2
2025-06-08 09:28:50,20.3
2025-06-08 09:29:00,20.3
2025-06-08 09:29:10,20.3
2025-06-08 09:29:20,20.4
2025-06-08 09:29:30,20.4
2025-06-08 09:29:40,20.4
2025-06-08 09:29:50,20.4
2025-06-08 09:30:00,20.4
2025-06-08 09:30:10,20.5
2025-06-08 09:30:20,20.6
2025-06-08 09:30:30,20.7
2025-06-08 09:30:40,20.8
2025-06-08 09:30:50,20.9
2025-06-08 09:31:00,20.9
2025-06-08 09:31:10,20.9
2025-06-08 09:31:20,20.9
2025-06-08 09:31:30,20.9
2025-06-08 09:31:40,21.0
2025-06-08 09:31:50,21.0
2025-06-08 09:32:00,21.5
2025-06-08 09:32:10,21.3
2025-06-08 09:32:20,21.3
2025-06-08 09:32:30,21.4
2025-06-08 09:32:40,21.3
2025-06-08 09:32:50,21.3
2025-06-08 09:33:00,21.2
2025-06-08 09:33:10,21.3
2025-06-08 09:33:20,21.2
2025-06-08 09:33:30,21.2
2025-06-08 09:33:40,21.1
2025-06-08 09:33:50,21.1
2025-06-08 09:34:00,21.1
2025-06-08 09:34:10,21.1
2025-06-08 09:34:20,21.1
2025-06-08 09:34:30,21.1
2025-06-08 09:34:40,21.1
2025-06-08 09:34:50,21.1
2025-06-08 09:35:00,21.1
2025-06-08 09:35:10,21.1
2025-06-08 09:35:20,21.1
2025-06-08 09:35:30,21.1
2025-06-08 09:35:40,21.2
2025-06-08 09:35:50,21.2
2025-06-08 09:36:00,21.2
2025-06-08 09:36:10,21.2
2025-06-08 09:36:20,21.2
2025-06-08 09:36:30,21.2
2025-06-08 09:36:40,21.2
2025-06-08 09:36:50,21.3
2025-06-08 09:37:00,21.3
2025-06-08 09:37:10,21.3
2025-06-08 09:37:20,21.3
2025-06-08 09:37:30,21.4
2025-06-08 09:37:40,21.3
2025-06-08 09:37:50,21.4
2025-06-08 09:38:00,21.4
