------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, ELP-NX9
device name, Raza de esp?ritu 
downloading mode, manual
------------------------------,--------------------
serial number, 0463 9E00 C952 07
custom name, POM5
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 219
time diff [logger-smartphone](sec), 7
lat, 43.463496
long, -3.783234
accuracy (m), 6.7
------------------------------,--------------------
time,temp
2025-06-08 09:18:20,20.8
2025-06-08 09:18:30,20.8
2025-06-08 09:18:40,20.9
2025-06-08 09:18:50,20.8
2025-06-08 09:19:00,20.9
2025-06-08 09:19:10,20.9
2025-06-08 09:19:20,20.8
2025-06-08 09:19:30,20.9
2025-06-08 09:19:40,20.8
2025-06-08 09:19:50,20.8
2025-06-08 09:20:00,20.9
2025-06-08 09:20:10,20.9
2025-06-08 09:20:20,20.9
2025-06-08 09:20:30,20.8
2025-06-08 09:20:40,20.8
2025-06-08 09:20:50,20.8
2025-06-08 09:21:00,20.8
2025-06-08 09:21:10,20.8
2025-06-08 09:21:20,20.8
2025-06-08 09:21:30,20.9
2025-06-08 09:21:40,20.9
2025-06-08 09:21:50,20.8
2025-06-08 09:22:00,20.9
2025-06-08 09:22:10,20.9
2025-06-08 09:22:20,20.9
2025-06-08 09:22:30,20.9
2025-06-08 09:22:40,20.9
2025-06-08 09:22:50,21.0
2025-06-08 09:23:00,21.0
2025-06-08 09:23:10,21.1
2025-06-08 09:23:20,21.2
2025-06-08 09:23:30,21.1
2025-06-08 09:23:40,21.2
2025-06-08 09:23:50,21.3
2025-06-08 09:24:00,21.5
2025-06-08 09:24:10,21.5
2025-06-08 09:24:20,21.6
2025-06-08 09:24:30,21.6
2025-06-08 09:24:40,21.7
2025-06-08 09:24:50,21.8
2025-06-08 09:25:00,21.8
2025-06-08 09:25:10,21.9
2025-06-08 09:25:20,21.9
2025-06-08 09:25:30,21.9
2025-06-08 09:25:40,21.9
2025-06-08 09:25:50,22.0
2025-06-08 09:26:00,21.9
2025-06-08 09:26:10,22.0
2025-06-08 09:26:20,21.9
2025-06-08 09:26:30,22.0
2025-06-08 09:26:40,22.0
2025-06-08 09:26:50,22.0
2025-06-08 09:27:00,22.0
2025-06-08 09:27:10,21.9
2025-06-08 09:27:20,21.9
2025-06-08 09:27:30,22.0
2025-06-08 09:27:40,22.0
2025-06-08 09:27:50,22.0
2025-06-08 09:28:00,22.0
2025-06-08 09:28:10,22.0
2025-06-08 09:28:20,22.1
2025-06-08 09:28:30,22.2
2025-06-08 09:28:40,22.3
2025-06-08 09:28:50,22.3
2025-06-08 09:29:00,22.3
