------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, ELP-NX9
device name, Raza de esp?ritu 
downloading mode, manual
------------------------------,--------------------
serial number, 0432 1400 460D 10
custom name, POM6
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 34
time diff [logger-smartphone](sec), -1
lat, 43.466476
long, -3.777068
accuracy (m), 10.4
------------------------------,--------------------
time,temp
2025-06-08 09:13:01,NA
2025-06-08 09:13:21,NA
2025-06-08 09:13:41,24.4
2025-06-08 09:14:01,23.6
2025-06-08 09:14:21,22.5
2025-06-08 09:14:41,21.7
2025-06-08 09:15:01,21.0
2025-06-08 09:15:21,20.4
2025-06-08 09:15:41,20.1
2025-06-08 09:16:01,19.8
2025-06-08 09:16:21,19.5
2025-06-08 09:16:41,19.3
2025-06-08 09:17:01,19.2
2025-06-08 09:17:21,19.2
2025-06-08 09:17:41,19.1
2025-06-08 09:18:01,19.0
2025-06-08 09:18:21,19.0
2025-06-08 09:18:41,18.9
2025-06-08 09:19:01,18.9
2025-06-08 09:19:21,18.9
2025-06-08 09:19:41,18.9
2025-06-08 09:20:01,18.9
2025-06-08 09:20:21,18.9
2025-06-08 09:20:41,18.9
2025-06-08 09:21:01,18.9
2025-06-08 09:21:21,18.9
2025-06-08 09:21:41,18.9
2025-06-08 09:22:01,18.8
2025-06-08 09:22:21,18.9
2025-06-08 09:22:41,19.1
2025-06-08 09:23:01,19.4
2025-06-08 09:23:21,NA
2025-06-08 09:23:41,NA
2025-06-08 09:24:01,NA
