------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, RMX3630
device name, Raquel_Realme10
downloading mode, manual
------------------------------,--------------------
serial number, 0446 7F00 E167 07
custom name, POM8
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 44
time diff [logger-smartphone](sec), -1
lat, 43.465792
long, -3.778283
accuracy (m), 2.9
------------------------------,--------------------
time,temp
2025-06-08 09:19:00,23.2
2025-06-08 09:19:20,23.1
2025-06-08 09:19:40,22.9
2025-06-08 09:20:00,22.2
2025-06-08 09:20:20,21.5
2025-06-08 09:20:40,20.9
2025-06-08 09:21:00,20.4
2025-06-08 09:21:20,19.9
2025-06-08 09:21:40,19.7
2025-06-08 09:22:00,19.4
2025-06-08 09:22:20,19.3
2025-06-08 09:22:40,19.2
2025-06-08 09:23:00,19.1
2025-06-08 09:23:20,19.0
2025-06-08 09:23:40,19.0
2025-06-08 09:24:00,18.9
2025-06-08 09:24:20,18.9
2025-06-08 09:24:40,18.9
2025-06-08 09:25:00,18.9
2025-06-08 09:25:20,18.8
2025-06-08 09:25:40,18.9
2025-06-08 09:26:00,18.9
2025-06-08 09:26:20,18.8
2025-06-08 09:26:40,18.9
2025-06-08 09:27:00,18.9
2025-06-08 09:27:20,18.9
2025-06-08 09:27:40,18.9
2025-06-08 09:28:00,18.9
2025-06-08 09:28:20,18.9
2025-06-08 09:28:40,18.9
2025-06-08 09:29:00,18.9
2025-06-08 09:29:20,18.9
2025-06-08 09:29:40,18.9
2025-06-08 09:30:00,18.8
2025-06-08 09:30:20,18.9
2025-06-08 09:30:40,18.8
2025-06-08 09:31:00,18.9
2025-06-08 09:31:20,18.9
2025-06-08 09:31:40,18.9
2025-06-08 09:32:00,18.9
2025-06-08 09:32:20,18.9
2025-06-08 09:32:40,19.0
2025-06-08 09:33:00,18.9
2025-06-08 09:33:20,18.9
