------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, RMX3630
device name, Raquel_Realme10
downloading mode, manual
------------------------------,--------------------
serial number, 04E9 C300 1E12 0A
custom name, POM9
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 45
time diff [logger-smartphone](sec), -1
lat, 43.465718
long, -3.778708
accuracy (m), 3.4
------------------------------,--------------------
time,temp
2025-06-08 09:20:40,NA
2025-06-08 09:21:00,28.2
2025-06-08 09:21:20,26.3
2025-06-08 09:21:40,24.5
2025-06-08 09:22:00,23.2
2025-06-08 09:22:20,22.2
2025-06-08 09:22:40,21.5
2025-06-08 09:23:00,20.9
2025-06-08 09:23:20,20.4
2025-06-08 09:23:40,20.1
2025-06-08 09:24:00,19.8
2025-06-08 09:24:20,19.6
2025-06-08 09:24:40,19.5
2025-06-08 09:25:00,19.4
2025-06-08 09:25:20,19.4
2025-06-08 09:25:40,19.3
2025-06-08 09:26:00,19.3
2025-06-08 09:26:20,19.2
2025-06-08 09:26:40,19.2
2025-06-08 09:27:00,19.2
2025-06-08 09:27:20,19.1
2025-06-08 09:27:40,19.1
2025-06-08 09:28:00,19.1
2025-06-08 09:28:20,19.1
2025-06-08 09:28:40,19.1
2025-06-08 09:29:00,19.1
2025-06-08 09:29:20,19.1
2025-06-08 09:29:40,19.0
2025-06-08 09:30:00,19.0
2025-06-08 09:30:20,19.0
2025-06-08 09:30:40,18.9
2025-06-08 09:31:00,19.0
2025-06-08 09:31:20,19.0
2025-06-08 09:31:40,18.9
2025-06-08 09:32:00,18.9
2025-06-08 09:32:20,18.9
2025-06-08 09:32:40,18.9
2025-06-08 09:33:00,18.9
2025-06-08 09:33:20,19.0
2025-06-08 09:33:40,18.9
2025-06-08 09:34:00,19.0
2025-06-08 09:34:20,18.9
2025-06-08 09:34:40,18.9
2025-06-08 09:35:00,NA
2025-06-08 09:35:20,19.8
