------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.1
downloading device type, android
device, SM-A256B
device name, A25 de palomerita1
downloading mode, manual
------------------------------,--------------------
serial number, 0465 2B00 2220 01
custom name, esclavas
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 9
time diff [logger-smartphone](sec), -1
lat, 43.465668
long, -3.778299
accuracy (m), 7.0
------------------------------,--------------------
time,temp
2025-03-31 11:11:01,18.5
2025-03-31 11:12:01,17.0
2025-03-31 11:13:01,16.5
2025-03-31 11:14:01,16.3
2025-03-31 11:15:01,16.1
2025-03-31 11:16:01,16.0
2025-03-31 11:17:01,16.0
2025-03-31 11:18:01,16.0
2025-03-31 11:19:01,NA
