------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.22
downloading device type, iphone
device, iPhone
device name, iOS 18.6.2
downloading mode, manual
------------------------------,--------------------
serial number, 04A9 E300 0222 08
custom name, nz
temperature, degrees Celsius (ºC)
time zone, UTC+0000
sampling resolution, 0.1
samples, 61
time diff [logger-smartphone](sec), -5
lat, 43.389955
long, -4.374646
accuracy (m), 3.5
------------------------------,--------------------
time,temp
2026-02-21 15:23:57,NA
2026-02-21 15:25:57,20.4
2026-02-21 15:27:57,20.2
2026-02-21 15:29:57,18.1
2026-02-21 15:31:57,14.4
2026-02-21 15:33:57,13.4
2026-02-21 15:35:57,13.1
2026-02-21 15:37:57,13.2
2026-02-21 15:39:57,13.3
2026-02-21 15:41:57,13.2
2026-02-21 15:43:57,13.1
2026-02-21 15:45:57,13.1
2026-02-21 15:47:57,13.3
2026-02-21 15:49:57,13.2
2026-02-21 15:51:57,13.2
2026-02-21 15:53:57,13.1
2026-02-21 15:55:57,13.0
2026-02-21 15:57:57,13.0
2026-02-21 15:59:57,13.2
2026-02-21 16:01:57,13.1
2026-02-21 16:03:57,13.1
2026-02-21 16:05:57,13.1
2026-02-21 16:07:57,13.1
2026-02-21 16:09:57,13.1
2026-02-21 16:11:57,13.0
2026-02-21 16:13:57,13.1
2026-02-21 16:15:57,13.1
2026-02-21 16:17:57,13.0
2026-02-21 16:19:57,13.0
2026-02-21 16:21:57,13.0
2026-02-21 16:23:57,13.1
2026-02-21 16:25:57,13.0
2026-02-21 16:27:57,13.0
2026-02-21 16:29:57,13.0
2026-02-21 16:31:57,13.0
2026-02-21 16:33:57,13.1
2026-02-21 16:35:57,13.0
2026-02-21 16:37:57,13.1
2026-02-21 16:39:57,13.1
2026-02-21 16:41:57,13.0
2026-02-21 16:43:57,13.0
2026-02-21 16:45:57,13.0
2026-02-21 16:47:57,13.1
2026-02-21 16:49:57,13.0
2026-02-21 16:51:57,13.0
2026-02-21 16:53:57,13.0
2026-02-21 16:55:57,13.1
2026-02-21 16:57:57,13.0
2026-02-21 16:59:57,13.0
2026-02-21 17:01:57,13.0
2026-02-21 17:03:57,13.0
2026-02-21 17:05:57,13.0
2026-02-21 17:07:57,13.1
2026-02-21 17:09:57,13.2
2026-02-21 17:11:57,12.7
2026-02-21 17:13:57,12.3
2026-02-21 17:15:57,12.1
2026-02-21 17:17:57,11.8
2026-02-21 17:19:57,11.6
2026-02-21 17:21:57,11.5
2026-02-21 17:23:57,11.3
