------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 5.7
downloading device type, android
device, Pocket
device name, Pocket
downloading mode, manual
------------------------------,--------------------
serial number, 04C6 6500 710F 02
custom name, sh01a
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 91
time diff [logger-smartphone](sec), -1
lat, 43.45
long, -3.97
accuracy (m), NA
------------------------------,--------------------
time,temp
2024-11-30 08:12:00,NA
2024-11-30 08:14:00,14.2
2024-11-30 08:16:00,13.2
2024-11-30 08:18:00,14.2
2024-11-30 08:20:00,14.4
2024-11-30 08:22:00,14.6
2024-11-30 08:24:00,14.7
2024-11-30 08:26:00,14.8
2024-11-30 08:28:00,14.8
2024-11-30 08:30:00,14.9
2024-11-30 08:32:00,15.0
2024-11-30 08:34:00,14.9
2024-11-30 08:36:00,14.9
2024-11-30 08:38:00,15.1
2024-11-30 08:40:00,14.8
2024-11-30 08:42:00,14.9
2024-11-30 08:44:00,14.9
2024-11-30 08:46:00,14.9
2024-11-30 08:48:00,14.9
2024-11-30 08:50:00,14.9
2024-11-30 08:52:00,14.9
2024-11-30 08:54:00,15.0
2024-11-30 08:56:00,15.0
2024-11-30 08:58:00,15.0
2024-11-30 09:00:00,15.0
2024-11-30 09:02:00,15.1
2024-11-30 09:04:00,14.9
2024-11-30 09:06:00,14.9
2024-11-30 09:08:00,15.0
2024-11-30 09:10:00,15.1
2024-11-30 09:12:00,14.9
2024-11-30 09:14:00,14.8
2024-11-30 09:16:00,14.8
2024-11-30 09:18:00,14.9
2024-11-30 09:20:00,14.9
2024-11-30 09:22:00,14.9
2024-11-30 09:24:00,14.9
2024-11-30 09:26:00,14.9
2024-11-30 09:28:00,15.0
2024-11-30 09:30:00,15.0
2024-11-30 09:32:00,15.0
2024-11-30 09:34:00,15.1
2024-11-30 09:36:00,15.0
2024-11-30 09:38:00,15.0
2024-11-30 09:40:00,15.1
2024-11-30 09:42:00,15.0
2024-11-30 09:44:00,15.1
2024-11-30 09:46:00,15.0
2024-11-30 09:48:00,15.1
2024-11-30 09:50:00,15.0
2024-11-30 09:52:00,14.9
2024-11-30 09:54:00,15.0
2024-11-30 09:56:00,15.0
2024-11-30 09:58:00,14.9
2024-11-30 10:00:00,15.0
2024-11-30 10:02:00,15.0
2024-11-30 10:04:00,15.1
2024-11-30 10:06:00,15.1
2024-11-30 10:08:00,15.2
2024-11-30 10:10:00,15.1
2024-11-30 10:12:00,15.0
2024-11-30 10:14:00,15.0
2024-11-30 10:16:00,15.0
2024-11-30 10:18:00,15.0
2024-11-30 10:20:00,15.1
2024-11-30 10:22:00,15.1
2024-11-30 10:24:00,15.2
2024-11-30 10:26:00,15.1
2024-11-30 10:28:00,15.1
2024-11-30 10:30:00,15.2
2024-11-30 10:32:00,15.2
2024-11-30 10:34:00,15.2
2024-11-30 10:36:00,15.3
2024-11-30 10:38:00,15.1
2024-11-30 10:40:00,15.1
2024-11-30 10:42:00,15.1
2024-11-30 10:44:00,15.2
2024-11-30 10:46:00,15.2
2024-11-30 10:48:00,15.2
2024-11-30 10:50:00,15.2
2024-11-30 10:52:00,15.1
2024-11-30 10:54:00,15.5
2024-11-30 10:56:00,16.1
2024-11-30 10:58:00,16.5
2024-11-30 11:00:00,16.5
2024-11-30 11:02:00,17.0
2024-11-30 11:04:00,17.3
2024-11-30 11:06:00,17.6
2024-11-30 11:08:00,17.8
2024-11-30 11:10:00,17.8
2024-11-30 11:12:00,18.0
